Estado,boolean,break,case,function,if,input,int,output,return,string,switch,var,void,++,ent,cad,id,=,",",;,:,(,),{,},*,!,>,default,true,false,$,P,F,F1,F2,F3,H,A,K,C,B,B1,W,T,S,S1,L,Q,X,E,R,U,V,V1
81,,,,,,,,,,,,,,,,,,,,,d90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,d13,r15,,d5,d11,,d10,d12,,d7,d6,,,,,d9,,,,,,,,r15,,,,r15,,,,,,,,,,,,92,91,,,,8,,,,,,,,,
83,,r32,r32,r32,r32,r32,,r32,r32,,r32,r32,,,,,r32,,,,,,,,r32,,,,r32,,,r32,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,d72,,,,r37,,,,,d53,,,,,,,,,,,,,,,,,,,,,93,,,,,,
85,,,,,,,,,,,,,,,,,,,r53,r53,,,r53,,,r53,,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,d13,r15,,d5,d11,,d10,d12,,d7,d6,,,,,d9,,,,,,,,r15,,,,r15,,,,,,,,,,,,94,91,,,,8,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,d95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,d96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,d13,r15,,d5,d11,,d10,d12,,d7,d6,,,,,d9,,,,,,,,r15,,,,r15,,,,,,,,,,,,97,91,,,,8,,,,,,,,,
91,,d13,r15,,d5,d11,,d10,d12,,d7,d6,,,,,d9,,,,,,,,r15,,,,r15,,,,,,,,,,,,98,91,,,,8,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,d99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,d21,,,,,,d20,,,d22,,,,,,,,,d101,,,,r13,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
97,,,d67,,,,,,,,,,,,,,,,,,,,,,r26,,,,d68,,,,,,,,,,,,,,,102,,,,,,,,,,,
98,,,r14,,,,,,,,,,,,,,,,,,,,,,r14,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,r5,,r5,r5,r5,,r5,r5,,r5,r5,,,,,r5,,,,,,,,,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,d21,,,,,,d20,,,d22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,d104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,d101,,,,r13,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
